Timestamp,Alert_Type,Alert_Level,EAR,MAR,Head_Deviation,Latency_MS
2026-05-30 19:17:56.795,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,15.3
2026-05-30 19:17:56.828,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.7
2026-05-30 19:17:56.860,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.6
2026-05-30 19:17:56.893,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.4
2026-05-30 19:17:56.924,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.2
2026-05-30 19:17:56.958,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.2
2026-05-30 19:17:56.988,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.2
2026-05-30 19:17:57.022,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.3
2026-05-30 19:17:57.060,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.3
2026-05-30 19:17:57.096,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,16.1
2026-05-30 19:17:57.131,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.1
2026-05-30 19:17:57.196,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,9.4
2026-05-30 19:17:57.232,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.0
2026-05-30 19:17:57.270,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.8
2026-05-30 19:18:00.184,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,8.2
2026-05-30 19:18:00.370,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,9.1
2026-05-30 19:18:00.572,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.1
2026-05-30 19:18:00.608,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.6
2026-05-30 19:18:00.896,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.6
2026-05-30 19:18:00.956,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.2
